监测站编号,空气质量指数(AQI),PM2.5(微克/立方米),气温(摄氏度),相对湿度(%)
ST_001,43,29.0,23.3,66.6
ST_002,41,19.0,37.8,86.3
ST_003,28,5.0,10.9,45.5
ST_004,17,22.0,6.6,22.7
ST_005,27,24.0,24.5,37.6
ST_006,60,27.0,27.5,82.4
ST_007,69,52.0,7.5,39.2
ST_008,10,16.0,6.9,65.2
ST_009,50,53.0,25.4,24.1
ST_010,249,171.0,-5.2,63.2
ST_011,96,68.0,20.0,58.9
ST_012,47,33.0,7.6,72.4
ST_013,68,63.0,20.9,59.3
ST_014,163,125.0,15.8,37.5
ST_015,118,93.0,,58.6
ST_016,80,68.0,8.0,46.5
ST_017,18,9.0,20.3,53.7
ST_018,40,20.0,31.6,74.9
ST_019,98,64.0,15.3,75.7
ST_020,37,5.0,14.8,80.7
ST_021,21,31.0,2.1,94.8
ST_022,24,11.0,38.3,92.8
ST_023,35,,31.0,89.9
ST_024,140,91.0,21.1,74.9
ST_025,20,32.0,8.5,77.2
ST_026,154,118.0,15.1,79.9
ST_027,28,20.0,29.9,68.8
ST_028,49,46.0,,62.9
ST_029,62,45.0,10.2,24.6
ST_030,22,17.0,16.7,25.7
ST_031,275,176.0,10.2,33.5
ST_032,31,32.0,6.6,48.7
ST_033,45,29.0,19.5,35.1
ST_034,32,16.0,,76.6
ST_035,71,57.0,,77.9
ST_036,46,25.0,9.0,79.9
ST_037,55,31.0,34.8,50.8
ST_038,86,59.0,30.7,81.1
ST_039,54,45.0,-3.4,51.8
ST_040,14,12.0,24.9,60.7
ST_041,93,,17.9,55.8
ST_042,50,44.0,28.3,67.3
ST_043,51,24.0,16.5,54.3
ST_044,55,41.0,12.5,63.1
ST_045,73,53.0,14.4,76.8
ST_046,129,77.0,25.7,76.5
ST_047,117,78.0,18.4,64.1
ST_048,40,25.0,7.3,75.2
ST_049,94,60.0,24.1,62.1
ST_050,80,52.0,20.2,21.7
ST_051,50,44.0,22.2,61.1
ST_052,19,15.0,19.8,56.6
ST_053,96,65.0,16.1,93.5
ST_054,166,132.0,20.0,26.1
ST_055,20,22.0,32.3,42.3
ST_056,236,170.0,18.9,31.0
ST_057,53,52.0,24.8,86.8
ST_058,149,106.0,26.1,20.9
ST_059,246,174.0,11.8,49.2
ST_060,37,23.0,-4.6,31.7
ST_061,82,92.0,14.6,49.5
ST_062,51,43.0,23.7,56.7
ST_063,96,56.0,12.0,84.0
ST_064,17,14.0,11.3,74.9
ST_065,109,76.0,1.1,82.1
ST_066,85,64.0,18.9,48.3
ST_067,54,27.0,15.8,22.7
ST_068,34,5.0,25.9,51.0
ST_069,49,28.0,12.5,58.1
ST_070,25,24.0,30.8,29.6
ST_071,71,54.0,0.9,72.2
ST_072,62,45.0,31.9,64.8
ST_073,15,5.0,20.7,76.2
ST_074,76,33.0,21.7,63.6
ST_075,86,53.0,7.4,74.2
ST_076,79,76.0,7.6,25.6
ST_077,33,16.0,6.6,27.1
ST_078,15,20.0,27.1,53.5
ST_079,41,28.0,8.7,91.1
ST_080,10,5.0,15.6,30.8
ST_081,12,5.0,5.2,57.6
ST_082,95,90.0,19.3,39.6
ST_083,61,43.0,0.9,36.5
ST_084,21,6.0,2.8,23.3
ST_085,52,,25.7,90.2
ST_086,55,43.0,20.3,69.0
ST_087,135,97.0,20.8,41.6
ST_088,35,11.0,21.3,31.8
ST_089,14,13.0,11.9,49.6
ST_090,40,32.0,5.3,92.6
ST_091,44,24.0,17.8,61.4
ST_092,23,13.0,19.1,54.1
ST_093,64,39.0,15.0,57.9
ST_094,285,186.0,13.8,85.5
ST_095,10,5.0,1.7,25.0
ST_096,112,74.0,17.3,85.6
ST_097,36,5.0,18.9,78.4
ST_098,69,43.0,10.2,41.6
ST_099,35,33.0,4.7,83.8
ST_100,133,86.0,21.1,35.7
ST_101,80,49.0,14.0,29.9
ST_102,18,5.0,10.9,41.1
ST_103,104,73.0,18.5,20.8
ST_104,61,46.0,23.7,37.5
ST_105,54,36.0,34.4,91.5
ST_106,204,145.0,4.1,25.5
ST_107,39,33.0,15.1,91.9
ST_108,418,274.0,8.7,35.0
ST_109,98,,11.8,71.3
ST_110,81,77.0,15.2,91.0
ST_111,50,36.0,,68.4
ST_112,25,25.0,32.4,40.7
ST_113,31,29.0,16.5,27.1
ST_114,17,11.0,3.4,93.3
ST_115,10,5.0,12.3,89.9
ST_116,41,15.0,27.8,77.9
ST_117,126,,5.9,39.2
ST_118,45,34.0,18.4,37.3
ST_119,55,26.0,5.6,63.7
ST_120,48,58.0,10.2,42.8
ST_121,71,44.0,16.4,24.6
