房源标题,总价(万),单价(元/平米),建筑面积(平米)
地铁口  一线湖景房   全新精装大三房  温馨时尚风,115.0,9144.0,125.77
不临铁路 中间楼层+红领巾 小高层一梯两户，老证税少,129.0,9476.0,136.13
恩施美食街边 户型方正采光充足两房 业主诚心出售,45.0,7397.0,60.84
4.12地铁口，三面采光 温馨两居 大阳台边户,85.0,10507.0,
小高层老证无贷款，两梯两户，中间楼层,120.0,8905.0,134.76
汉口1872纯毛坯三房户型方正视野好,173.0,14922.0,115.94
万达商圈南德榜样学府次新小区 朝南三房老证少税,50.0,5188.0,96.38
保利拉菲 小三房 拎包住 满五 诚心出售,98.0,,88.26
汉西一路 左岸美邻 四开间朝南 三房两厅两卫 诚心出售,148.0,11847.0,124.93
大平层五房三卫，小高层一梯一户公摊小楼栋位置视野,280.0,14486.0,193.29
百步亭近地铁总价低优质花园大三房,95.0,6864.0,138.4
低密大四房，南北通透，小高层，采光好,179.0,10614.0,168.65
湖景三房 自住装修带暖气 产证已经满二税费少,175.0,16236.0,107.79
万科唐樾 精装四房 带地暖 小区中间 南北通透,290.0,20463.0,141.72
菱角湖万达广场精装修大4房 房东诚心卖,188.0,12994.0,144.68
恒隆武广汉正街商圈 正规大两房 交通便利 配套成熟,118.0,11918.0,99.01
前排清水毛坯好楼层洋房！业主诚心出售！,252.0,16902.0,149.09
新澳蓝草坪，龙阳村地铁口，双房朝南的户型，采光好,75.0,8189.0,91.59
复地悦城二期 3室2厅 南,99.0,11220.0,88.24
全新装修 户型方正 无户口 无贷款 产权清晰,110.0,12165.0,90.42
房子中高楼层采光视野好，装修保养新，满二拎包入住！,120.0,12524.0,95.82
汉阳二环内 玫瑰新苑 电梯顶层复式 大面积大露台,200.0,7988.0,250.38
软件园好房户型好二楼通透低密度小区,109.0,9207.0,118.39
近地铁、临和平公园、证满两年、中间层采光视野开阔！,128.0,16325.0,78.41
视野宽阔采光足，诚心出售，交通便利,40.0,4329.0,92.4
东湖景园A区 3室1厅 南,86.0,8600.0,100.0
武胜路地铁口，朝南三房，高层电梯房，看房方便。,155.0,12596.0,123.05
大洋彼岸精装修四房，公摊小，楼层好,45.0,3247.0,138.59
幸福时代大家   户型好  楼层好  诚心出售,165.0,13002.0,126.9
珑璟轩 双地铁口 联排别墅上下5层 前后带院子 精装修,138.0,13788.0,100.09
