视频标题,UP主,播放量,弹幕数,点赞数
《水调哥头》,伤心欲茄222,1491556.0,417,111766.0
【碧蓝航线9周年】唐国强守护千年非遗，碧蓝航线×成都漆艺特别联动,碧蓝航线,2588075.0,2294,13168.0
《绝区零》星徽比利EP | Billy Mode,绝区零,,4210,101679.0
"""小麦，我一定会找到完美时间线的！”",徐Toso,2049799.0,4585,71367.0
【剧情】黑爵士 第一季（1983）01【罗温·艾金森 / 布耐恩·布莱塞得】,迷影社,220866.0,287,2273.0
高市早苗的魅力外交,燕三嘤嘤嘤,1025493.0,11730,
全世界笑点下降1000倍而我不变,逗比的雀巢,8332151.0,19627,677527.0
亲手把上汽大众ID. ERA 9X开上纽北是什么体验？,极客湾Geekerwan,725473.0,509,17059.0
【钓鱼侠七月】我说本大师是今天最强路亚佬！没人反对吧！还好水不深希望孩子没事！,钓鱼侠七月,3686567.0,11535,609925.0
【NiKo】我的中国首次直播，和大家聊聊近况与未来。,FLC_NiKo,1672465.0,761,66114.0
【明日方舟×怪物猎人】SideStory「泡影苍霆」活动宣传PV,明日方舟,1847165.0,11851,98752.0
聪明的猫是要多承担一点的……,亮亮也是酿酿,357414.0,1593,54839.0
1000人海上木筏求生挑战 坚持7天瓜分10亿奖金！,十万个挑战,6042662.0,2179,82155.0
特厨探店|不惊艳，但是吃着超级舒服的家常菜—老太婆家常菜,特厨隋坡,644744.0,1082,65241.0
2分钟严肃介绍《卡厄思梦境》丨PC预下载现已开启，5月28日正式双端上线,卡厄思梦境,442495.0,29,13381.0
真实事件改编,七颗猩猩QKXX,1029187.0,236,43079.0
第九季开播第一集就炸了！那位角色回归，上演世纪大战，主线彻底清零（瑞克和莫蒂第九季第一集·剧情）,安迪视频,1275017.0,2415,46678.0
开完小米YU7 GT，我劝各大SUV好自为之！！,追风Mia_,494708.0,860,4509.0
旭阳小课堂第一期：AI Agent最危险的不是AI，而是“中间人”,老头们的快乐生活,305269.0,178,20880.0
不是不回你消息 是田里网太差了,小软不饿,3757492.0,858,226269.0
《阴阳师》天火命铃彦姬CG丨执火燎原（CV：小松未可子）,网易阴阳师手游,1766988.0,1435,59836.0
【原创短剧】第二季01：飞升失败 开局成为人渣,熟练丶,183498.0,658,17415.0
你被AI内容骗过吗？,影视飓风,1445113.0,3462,101426.0
被3000名网友操控的河南之行，我竟然吃到昏厥？【超级特派员02】,盗月社食遇记,2148942.0,7305,96444.0
开爆8台车，我能成为车神吗？,极速拍档,282028.0,1877,18604.0
早知道不来你家了…,小潮院长,3449984.0,30687,265742.0
谁家潜艇装卡车发动机？【军事榨菜53】,花岗岩工作室,598712.0,4949,44008.0
深扒王鹤棣翻车全始末：嘲沈月身材，黄晓明半截入土，绊倒邵子恒，事迹越扒越有！,啄残鹦鹉粒,1781967.0,11064,49028.0
虽然平时经常逗铠玩，但不得不承认铠是4大天王中最强的,磊哥游戏,681875.0,557,39200.0
带大黑牛自律的一天,花小龙oy,3727244.0,5279,412277.0
巧乐兹：叫你模仿，没让你超越！,老实人小经,1704226.0,3274,75842.0
⚡功 夫 足 球⚡,小猪要吃好果子,2888073.0,1813,131558.0
张顺飞又被爆开桂！玩游戏科技狠活第一人，软件一关30发子弹一枪不中！,燃烧的显卡菌,1122676.0,374,37299.0
我只希望所有的好妈妈出门在外都可以被善待,爱画画的子衿,810480.0,2071,140615.0
为了她，我花两万八割双眼皮,马哥巨离谱,962773.0,2901,29229.0
决战寝室之巅！,一串大福,767266.0,903,42923.0
因为无法接受黑袍的结局，我做出了心中真正的祖国人,IMPLAsy,1661312.0,1409,111242.0
真人快打1 玩家超唐对局 招架全能人对战滑步祖国人,力哥玩儿游戏,2042458.0,2151,112977.0
你愿意跟我一起签署在外父母互助协议吗？,小乖盒饭,322637.0,552,46680.0
我说我箭下没秘密，你尔朵隆嘛,柒玖动漫柒柒游电竞,1638619.0,467,132058.0
山西留神峪煤矿井下爆炸瞬间监控公布,央视新闻,1553121.0,6570,69604.0
当你的心理年龄超过父母，就能理解他们“犯下的错”！冷门宝藏电影,长片短解,1553713.0,2075,66745.0
陈翔六点半：当所有人能听见我的心声,陈翔六点半,2904129.0,1209,50896.0
你敢相信吗，在佛罗里达居然能找到史前巨齿鲨的大牙齿，而且还能捕抓当地入侵物种“哥斯拉”,OK哥环球探海记,1758302.0,2529,40286.0
欧卡2超低成本外设,雪阳子2077,466467.0,570,53968.0
三国杀up锐评新三国re02：新三学理论取得重大突破,吃蛋挞的折棒,419945.0,6825,25175.0
兄妹抢吃大挑战 抽到几口吃几口,逗比兄妹,287988.0,895,19799.0
消失的6小时：一卷胶带，如何把人类逼疯79年？,大圆镜科普,1154619.0,1480,79600.0
王老菊教你藤蔓女王,怕上火暴王老菊,213681.0,1943,11603.0
【乘风2026】《缘分一道桥》尚雯婕&萨顶顶&王濛&陈瑶 开口即江湖！,尚雯婕Laure,1092932.0,5216,43834.0
