监测站编号,空气质量指数(AQI),PM2.5(微克/立方米),气温(摄氏度),相对湿度(%)
ST_001,95,76.0,8.4,81.2
ST_002,51,36.0,27.1,32.9
ST_003,39,38.0,8.0,45.1
ST_004,40,33.0,19.5,94.9
ST_005,32,41.0,20.6,63.9
ST_006,311,229.0,9.4,22.3
ST_007,30,28.0,6.7,47.8
ST_008,20,5.0,19.9,37.8
ST_009,18,14.0,20.3,73.0
ST_010,47,33.0,-2.3,72.5
ST_011,49,33.0,10.8,52.7
ST_012,73,40.0,21.7,69.7
ST_013,23,5.0,33.1,67.7
ST_014,58,33.0,29.6,62.1
ST_015,70,48.0,18.3,84.4
ST_016,102,58.0,21.5,31.1
ST_017,48,22.0,-7.0,43.2
ST_018,14,,17.8,93.9
ST_019,52,28.0,,26.9
ST_020,26,,30.0,37.4
ST_021,69,,23.6,89.0
ST_022,34,14.0,25.7,74.0
ST_023,34,35.0,8.5,59.3
ST_024,115,84.0,9.9,60.0
ST_025,106,53.0,19.1,22.6
ST_026,37,5.0,27.2,44.8
ST_027,133,,14.2,85.4
ST_028,48,34.0,-4.8,78.9
ST_029,87,54.0,2.6,91.6
ST_030,18,8.0,-7.6,33.5
ST_031,42,,19.4,79.3
ST_032,50,27.0,22.3,54.3
ST_033,61,37.0,7.5,71.9
ST_034,69,49.0,11.8,86.7
ST_035,25,9.0,15.7,75.3
ST_036,34,24.0,-2.0,81.2
ST_037,26,32.0,38.2,31.0
ST_038,30,5.0,11.2,64.0
ST_039,25,17.0,22.6,87.2
ST_040,160,98.0,15.7,83.1
ST_041,165,112.0,16.5,58.5
ST_042,22,8.0,,44.4
ST_043,60,35.0,15.5,93.4
ST_044,28,33.0,20.0,65.0
ST_045,55,19.0,30.8,30.6
ST_046,80,61.0,20.6,60.3
ST_047,52,26.0,14.3,26.2
ST_048,51,43.0,14.2,30.6
ST_049,56,13.0,-2.8,84.8
ST_050,269,197.0,25.2,38.1
ST_051,37,34.0,7.8,28.4
ST_052,10,6.0,19.3,54.5
ST_053,21,5.0,25.2,58.2
ST_054,200,138.0,10.1,28.9
ST_055,34,5.0,24.8,87.8
ST_056,61,38.0,19.7,78.8
ST_057,98,80.0,,86.5
ST_058,125,69.0,26.0,93.2
