房源标题,总价(万),单价(元/平米),建筑面积(平米)
泛海商务区一初旁，另有车库可出售，小高层,72.0,8895.0,80.94
大四房带全屋家电 纯边户  诚心出 看中可以谈价!,88.0,6391.0,137.69
怡景雅居电梯小两房，近地铁新港线，楼龄新,20.0,2964.0,67.48
此房两证满五年 后期税费低  业主急卖,36.0,4958.0,
光谷之星 通透户型 好楼层 视野好,169.0,12723.0,132.83
通透户型 自住装修 拎包可以住,126.0,9970.0,126.38
精装三室两厅两卫 地铁口旁 中间楼层 采光好,105.0,8235.0,127.5
此房不临三环，出行方便，看房满意随时签约,115.0,,137.1
未来科技城华为旁山水年华装修好的3房通透户诚心卖,75.0,7660.0,97.91
武昌滨江一线江景好房 凤凰楼层 视野开阔,170.0,14879.0,114.25
中城新时代 3室2厅 南,84.0,7137.0,117.7
武汉天地小洋房顶楼|| 可以喝茶  养花 放松的空间,450.0,39792.0,113.09
中间楼层 三房全明户型 视野采光好,73.0,7111.0,102.66
精装大四房 电梯小高层中楼层 2梯3户 户型方正,120.0,8972.0,133.75
盘龙城恒大名都一线湖景朝南大三房,71.0,5618.0,126.38
此房格局方正，南北通风，户型紧凑 纯毛坯大两房,40.0,4597.0,87.01
远洋3地块精装修三房小区中间位置 次新房 钟小门口,210.0,17847.0,117.67
南北通透双阳台前后花园生活便利,70.0,7414.0,94.42
一楼带院子的，种花养草养宠物，两房格局，南北通透,69.0,8081.0,85.39
街道口 兆富国际住宅大面积 近地铁,120.0,7011.0,171.16
二七  恒大双城 随时看房  产证已办,39.5,5496.0,71.87
沌阳大道正地铁 边户复式 实得80多平天然气三房,26.0,4763.0,54.59
汉口北轻轨一号线旁精装2居室，人车分流，万科物业,36.0,5226.0,68.89
恒 大 绿 洲 精 装 三 房，诚 意 出 售,45.0,3830.0,117.49
精装修带暖气 全屋大品牌 视野佳 满五唯一 诚意出售,105.0,12523.0,83.85
次新小区 人车分流 精装三房两卫 家电齐全 拎包即住,73.0,7539.0,96.83
此房为精装两房，带有私人露台 适合一家三口人住住。,50.0,5789.0,86.37
全新小区，人车分流， 采光通风视野好,79.0,7684.0,102.81
精装修大两房，直接入住，两证满2年,82.0,10539.0,77.81
业主居家自住装修，可拎包入住，诚心出售，看房方便,125.0,14643.0,85.37
